Title,Author,Abstract,Keywords,Publication title,Country of publication,Publication year,Source type,Language of publication,DOI Link,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,WoS Categories,Web of Science Index,Research Areas
"How Can Equity, Diversity, And Inclusion (Edi) Principles Be Incorporated Into Research Excellence With Industry And Community Partners? Lessons Learned From Canada And Australia On Projects With A Dementia Focus","Hung, LL; Wong, KLY; Rasekaba, T; Ren, LH; Douglass, D; Slatter, S; Berndt, A; Blackberry, I","Background: The rapid advancement of gerontechnology, technologies for older adults, needs a collaboration that integrates the efforts of researchers, industry and community partners. Multisector collaboration fosters a holistic view of technologies, merging industry expertise, academic rigour, and the lived experiences of older adults and caregivers. This paper explores the role of Equity, Diversity, and Inclusion (EDI) perspectives in Patient and Public Involvement (PPI). Methods: We present two case studies from Canada and Australia. Study One involves a dementia television project, and Study Two is an innovative rural dementia care project. Data sources included transcripts of the case studies' focus groups, research meeting notes, and associated study publications between 2021 and 2023 and 2016-2024, respectively. Utilizing Rolfe's reflective model, we reflected on lessons learned regarding challenges, strategies, and their implications for future research. Our analysis focused on two questions: (1) What were the common challenges of partnering with industry and PPI in the research process? And (2) How can EDI be applied to help overcome those challenges? Results: Thematic analysis identified five common themes of challenges and ten practical strategies. The challenges are (1) experiential bias, (2) underrepresentation, (3) communication gaps, (4) mistrust and (5) power dynamics. Based on the lessons learned, we identified ten practical strategies using EDI principles: (1) seek diverse representation, (2) establish transparent agreements, (3) adopt inclusive language and cultural sensitivity, (4) apply flexibility to learn and adapt, (5) embed team reflection (6) take time to build trust and relationships, (7) facilitate meaningful engagement, (8) provide equitable recognition and opportunity, (9) foster a respectful environment for knowledge transfer, and (10) cultivate a long-term sustained relationship. Conclusion: The older population is diverse, and their needs are complex. EDI considerations contribute to fostering research excellence and maximizing the potential of PPI to develop technologies to improve aging experiences that truly meet the diverse needs of older adults for societal impact. Multisector collaboration requires clear communication and intentional efforts to build trust. EDI considerations should be embedded at every stage of the research process. This paper outlines common challenges, strategies, and implications as practical tips for future research and practice.",Equity; Diversity; Inclusion; EDI; Industry partners; Community partners,SPRINGERNATURE,LONDON,2024,J,English,http://dx.doi.org/10.1186/s40900-024-00644-5,40,8,8,0,0,Health Care Sciences & Services; Health Policy & Services,Emerging Sources Citation Index (ESCI),Health Care Sciences & Services
A User Evaluation Study Of Augmented And Virtual Reality Tools For Training And Knowledge Transfer,"Zacharaki, EI; Triantafyllidis, A; Carreton, R; Loeck, M; Michalellis, I; Michalakis, G; Chantziaras, G; Segkouli, S; Giakoumis, D; Moustakas, K; Votis, K; Tzovaras, D","Modern augmented and virtual reality (AR/VR) technology open multiple new capabilities in the way people interact, collaborate and deliver or receive information via digital interfaces. Industry workers and operators may especially benefit from such solutions that allow them to get trained, onsite or remotely, using digital copies of the workplace environment. This paper presents the development of AR/VR-based collaborative and telepresence tools, along with a web-based platform for knowledge exchange and interaction, as part of the Ageing@Work project, that enable easy transfer of know-how from experienced (possibly older) to novice workers. The remote collaboration tools facilitate variability in location and working hours, and thus promote age-neutralizing means of participation and cooperation, whereas the knowledge transfer tools support the ageing worker's leadership characteristics within the workplace community, allowing the company or work site to capitalize on her/his experience and expertise gained through the years. The tools were developed in accordance to a user-centred design process and were evaluated by 126 participants in total through online surveys in two pilot sites with regard to core Industry 4.0 processes of mining and machines production, as well as through off-pilot studies. This paper presents analytic outcomes of the assessment of knowledge transfer tools illustrating very positive results on the level of technology acceptance, and the overall potential of the developed solutions to support healthy and productive ageing of workers with enhanced workability.",Augmented reality; Virtual reality; Knowledge transfer; Remote collaboration; Technology acceptance; Ageing workers,SPRINGER INTERNATIONAL PUBLISHING AG,CHAM,2022,C,English,http://dx.doi.org/10.1007/978-3-031-05039-8_21,9,2,3,1,10,"Computer Science, Cybernetics; Computer Science, Theory & Methods; Ergonomics",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Computer Science; Engineering
Celebrating 60 Years Of The Chinese University Of Hong Kong: Research Highlights In Nanoscience And Nanotechnology,"Yang, L; Choi, CHJ; Wang, JF; Xia, J; Zhang, L; Ngai, T; Zi, YL; Huang, ZF","Recent breakthroughs and advances in nanoscience and nanotechnology have profoundly impacted young-generation education, accelerated knowledge transfer to enhance the quality of life, and improved environmental and economic sustainability. The Chinese University of Hong Kong (CUHK), a globally recognized education and research institute, has played a crucial role in promoting major strategic research directions in nanoscience, including translational biomedicine and information and automation technology, as well as environment and sustainability. To celebrate the 60th Anniversary of CUHK, we present this Virtual Issue that showcases the cutting-edge research at CUHK published in ACS Nano.",,AMER CHEMICAL SOC,WASHINGTON,2023,J,English,http://dx.doi.org/10.1021/acsnano.3c11732,34,3,3,0,25,"Chemistry, Multidisciplinary; Chemistry, Physical; Nanoscience & Nanotechnology; Materials Science, Multidisciplinary",Science Citation Index Expanded (SCI-EXPANDED),Chemistry; Science & Technology - Other Topics; Materials Science
Linking Code And Documentation Churn: Preliminary Analysis,"Hovhannisyan, A; Fan, Y; Rodríguez-Pérez, G; Kula, RG","Code churn refers to the measure of the amount of code added, modified, or deleted in a project and is often used to assess codebase stability and maintainability. Program comprehension or how understandable the changes are, is equally important for maintainability. Documentation is crucial for knowledge transfer, especially when new maintainers take over abandoned code. We emphasize the need for corresponding documentation updates, as this reflects project health and trustworthiness as a third-party library. Therefore, we argue that every code change should prompt a documentation update (defined as documentation churn). Linking code churn changes with documentation updates is important for project sustainability, as it facilitates knowledge transfer and reduces the effort required for program comprehension. This study investigates the synchrony between code churn and documentation updates in three GitHub open-source projects. We will use qualitative analysis and repository mining to examine the alignment and correlation of code churn and documentation updates over time. We want to identify which code changes are likely synchronized with documentation and to what extent documentation can be auto-generated. Preliminary results indicate varying degrees of synchrony across projects, highlighting the importance of integrated concurrent documentation practices and providing insights into how recent technologies like AI, in the form of Large Language Models (i.e., LLMs), could be leveraged to keep code and documentation churn in sync. The novelty of this study lies in demonstrating how synchronizing code changes with documentation updates can improve the development lifecycle by enhancing diversity and efficiency.",code churn; software maintenance; knowledge transfer; automated documentation generation,IEEE COMPUTER SOC,LOS ALAMITOS,2024,C,English,http://dx.doi.org/10.1109/ISSREW63542.2024.00058,10,0,0,0,0,"Computer Science, Artificial Intelligence; Computer Science, Software Engineering",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science
Early Identification And Delirium Recognition In Acute Care: A Quality Improvement Initiative,"Sanga, SK; Ansryan, LZ","Recognition of delirium continues to be a challenge in acute care despite the use of validated and reliable tools. This evidence-based quality improvement project aimed to increase delirium recognition by increasing daily screening using the Confusion Assessment Method (CAM) tool. Methods to increase usage and accuracy of the assessment included targeted education by specially trained geriatric nurse champions (GNCs). During rounds, GNCs performed bedside assessment, provided real-time feedback, and focused on non-pharmacological interventions on medical-surgical and telemetry units. All patients 65 years of age and older were included. Daily screening of CAM assessment increased by 7.6 % over three months, including an increase in CAM positive results from 7.1 % to 8.5 %-additional favorable outcomes observed with an increase in delirium diagnosis. This project increased knowledge retention and reinforcement of non-pharmacological interventions through peer coaching and focused rounds. Continued training efforts and education are needed to increase identification of patients experiencing delirium. (c) 2025 Elsevier Inc. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",Delirium; Early identification; Confusion assessment method (CAM); Geriatric nurse champions (GNCS); Geriatric clinical nurse specialist (GCNS) quality improvement (QI),MOSBY-ELSEVIER,NEW YORK,2025,J,English,http://dx.doi.org/10.1016/j.gerinurse.2025.04.013,19,0,1,1,2,Geriatrics & Gerontology; Gerontology; Nursing,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Geriatrics & Gerontology; Nursing
Deep Knowledge Tracing And Cognitive Load Estimation For Personalized Learning Path Generation Using Neural Network Architecture,"Tong, CY; Ren, CH","This paper presents a novel approach for personalized learning path generation by integrating deep knowledge tracing and cognitive load estimation within a unified framework. We propose a dual-stream neural network architecture that simultaneously models students' knowledge states and cognitive load levels to optimize learning trajectories. The knowledge state tracking module employs a bidirectional Transformer with graph attention mechanisms to capture complex relationships between knowledge components, while the cognitive load estimation module utilizes multimodal data analysis to dynamically assess mental effort during learning activities. A dual-objective optimization algorithm balances knowledge acquisition with cognitive load management to generate paths that maintain optimal challenge levels. Experimental evaluations across multiple educational domains demonstrate that our approach outperforms existing methods in prediction accuracy (87.5%), path quality (4.4/5), and learning efficiency (24.6% improvement). The implemented system supports real-time adaptation based on performance and cognitive state, resulting in reduced frustration, higher engagement, and improved knowledge retention. This research contributes to both theoretical understanding of learning processes and practical implementation of next-generation adaptive educational technologies.",Deep knowledge tracing; Cognitive load Estimation; Personalized learning; Neural networks; Adaptive learning systems; Educational technology,NATURE PORTFOLIO,BERLIN,2025,J,English,http://dx.doi.org/10.1038/s41598-025-10497-x,64,3,4,19,21,Multidisciplinary Sciences,Science Citation Index Expanded (SCI-EXPANDED),Science & Technology - Other Topics
The Virtual Reality In Your Head: How Immersion And Mental Imagery Are Connected To Knowledge Retention,"Barrett, A; Zhang, ND; Wei, SY","Immersive learning is predominantly constrained to technology-based interventions but has the potential for more diverse applications. This study reports on an experiment investigating the learning affordances of psychological immersion evoked by narrative absorption. A total of 228 participants were randomly assigned to one of three forms of media, an image, a word list, and a narrative, all of which contained identical items to be memorized for immediate and delayed free recall memory tests. Other variables measured were immersion, extraneous cognitive load, and mental imagery. ANOVA and correlation analyses showed that the narrative media was found to be significantly more immersive and that it evoked mental imagery in individuals at higher levels than both the list and image media. Importantly, there was more decay in memory recall between immediate and delayed tests for those exposed to the list and the image than for those who read the narrative. This implies the utility of immersive narratives for spontaneous mental image generation, which leads to improved knowledge retention. Other implications for immersive learning theory are discussed, and practical solutions for incorporating narrative immersion in learning are also suggested.",Immersive learning; Immersion; Mental imagery; Memory recall; Cognitive load; Narratives,SPRINGER/PLENUM PUBLISHERS,NEW YORK,2025,J,English,http://dx.doi.org/10.1007/s10648-025-09984-4,91,0,1,6,23,"Psychology, Educational",Social Science Citation Index (SSCI),Psychology
Artificial Intelligence In Orthopedic Medical Education: A Comprehensive Review Of Emerging Technologies And Their Applications,"Sporn, K; Kumar, R; Paladugu, P; Ong, J; Sekhar, T; Vaja, S; Hage, T; Waisberg, E; Gowda, C; Jagadeesan, R; Zaman, N; Tavakkoli, A","Integrating artificial intelligence (AI) and mixed reality (MR) into orthopedic education has transformed learning. This review examines AI-powered platforms like Microsoft HoloLens, Apple Vision Pro, and HTC Vive Pro, which enhance anatomical visualization, surgical simulation, and clinical decision-making. These technologies improve the spatial understanding of musculoskeletal structures, refine procedural skills with haptic feedback, and personalize learning through AI-driven adaptive algorithms. Generative AI tools like ChatGPT further support knowledge retention and provide evidence-based insights on orthopedic topics. AI-enabled platforms and generative AI tools help address challenges in standardizing orthopedic education. However, we still face many barriers that relate to standardizing data, algorithm evaluation, ethics, and the curriculum. AI is used in preoperative planning and predictive analytics in the postoperative period that bridges theory and practice. AI and MR are key to supporting innovation and scalability in orthopedic education. However, technological innovation relies on collaborative partnerships to develop equitable, evidence-informed practices that can be implemented in orthopedic education. For sustained impact, innovation must be aligned with pedagogical theories and principles. We believe that orthopedic medical educators' future critical role will be to enhance the next generation of competent clinicians.",AI and MR in orthopedic education; AI-powered platforms; personalized learning; preoperative planning; evidence-based practices,MDPI,BASEL,2025,J,English,http://dx.doi.org/10.3390/ime4020014,56,0,0,2,2,"Education, Scientific Disciplines",Emerging Sources Citation Index (ESCI),Education & Educational Research
Llm-Based Generation Of Solidity Smart Contracts From System Requirements In Natural Language: The Astrakode Case,"De Vito, G; D'Amici, D; Izzo, F; Ferrucci, F; Di Nucci, D","As blockchain technology continues to evolve, the need for accessible solutions for developing smart contracts has grown, especially for non-technical users. This paper addresses practitioners' challenges in generating Solidity smart contracts from natural language requirements within the AstraKode Blockchain no-code platform (AKB). Our goal is to lower the barrier of entry into smart contract development, making it more accessible to users with limited technical expertise. We propose three methods, i.e., Naive Generation, Augmented Generation, and Enhanced Generation, each utilizing large language models to streamline the code generation process. These methods cater to different user needs, from rapid prototyping to handling complex business scenarios, improving accessibility and usability within AKB. We demonstrate their practical relevance, potential, and limitations in addressing real-world challenges in smart contract development through empirical evaluations and practitioner feedback. Thanks to collaboration with academia and effective knowledge transfer, these methods provide innovative solutions to the challenges of smart contract generation. Furthermore, they have been integrated into AKB to enhance user services, ultimately promoting the development and deployment of secure and efficient smart contracts in the industry.",Smart Contracts; No-Code Platform; Code Generation; Large Language Model,IEEE COMPUTER SOC,LOS ALAMITOS,2025,C,English,http://dx.doi.org/10.1109/SANER64311.2025.00024,34,0,0,1,1,"Computer Science, Interdisciplinary Applications; Computer Science, Software Engineering; Computer Science, Theory & Methods",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science
Contextualizing The Usefulness Of Knowledge Received From Retiring Employees: Leader Behaviour And Organisational Culture,"Biron, M; Turgeman-Lupo, K; Zaid-Dominik, O","Knowledge loss is increasingly at the centre of business agendas, as large numbers of baby boomers are retiring, and employees of diverse age cohorts are resigning amid workforce shifts triggered by the COVID-19 pandemic. This research explores how specific contextual factors, namely transformational leadership and innovation culture, contribute to the relationship between retiring employees' knowledge continuity (KC) behaviour and the extent to which imparted knowledge is useful to recipients' performance post-departure. We analysed survey data from 81 triads of knowledge workers at a technology-intensive firm - matched data from retiring employees, their supervisors, and their successors. Surveys were administered both before and after retirees' departure. We find a positive association between KC behaviour and the usefulness of the knowledge received, mostly when supervisors are perceived as more transformational. When supervisors are perceived as less transformational, this association is attenuated to the point of non-significance, particularly under perceptions of low innovation culture.",Innovation culture; knowledge continuity; knowledge usefulness; retiree knowledge retention; transformational leadership,TAYLOR & FRANCIS LTD,ABINGDON,2024,J,English,http://dx.doi.org/10.1080/14778238.2023.2297060,59,1,1,1,20,Information Science & Library Science; Management,Social Science Citation Index (SSCI),Information Science & Library Science; Business & Economics
Recommendations Of The National Academy Of Medicine Of Mexico In The Face Of Artificial Intelligence In The Biomedical Scenario,"Ramos-Zuñiga, R; de Chavez, MHR; Santillán-Doherty, PJ; Sánchez-Mendiola, M; Gutiérrez-Cirlos, C; Carrillo-Esper, R","Artificial intelligence as a generic concept is present in all activities of daily life in contemporary society. In the biomedical scenario has had a particular presence, with the development of systems ranging from the generation of knowledge in medical research to applications in different areas of individual and collective health. Such is the case of new tools based AI in different modalities, in public health, diagnostics, image, medical and surgical clinical processes, as well as rehabilitation, inclusion and functional facilitation strategies. Despite being a relevant advance based on technological innovation and knowledge transfer for management and decision making, it is pertinent to consider some reasonable precautionary measures as recommendations, to evaluate in a timely manner, the safety, efficacy and risks.",Algorithm; Bioethics; Cyber medicine; Artificial intelligence; Digital health,ACAD NACIONAL MEDICINA MEXICO,MEXICO,2025,J,Spanish,http://dx.doi.org/10.24875/GMM.24000408,30,0,0,1,1,"Medicine, General & Internal",Science Citation Index Expanded (SCI-EXPANDED),General & Internal Medicine
Comparing Conventional Physician-Led Education With Vr Education For Pacemaker Implantation: A Randomized Study,"Drozdova, A; Polokova, K; Jiravsky, O; Godula, BJ; Chovancik, J; Ranic, I; Jiravsky, F; Hecko, J; Sknouril, L","Introduction: Education of patients prior to an invasive procedure is pivotal for good cooperation and knowledge retention. Virtual reality (VR) is a fast-developing technology that helps educate both medical professionals and patients. Objective: To prove non-inferiority of VR education compared to conventional education in patients prior to the implantation of a permanent pacemaker (PPM). Methods: 150 participants scheduled for an elective implantation of a PPM were enrolled in this prospective study and randomized into two groups: the VR group (n = 75) watched a 360 degrees video about the procedure using the VR headset Oculus Meta Quest 2, while the conventional group (n = 75) was educated by a physician. Both groups filled out a questionnaire to assess the quality of education pre- and in-hospital, their knowledge of the procedure, and their subjective satisfaction. Results: There was no significant difference in the quality of education. There was a non-significant trend towards higher educational scores in the VR group. The subgroup with worse scores was older than the groups with higher scores (82 vs. 76 years, p = 0.025). Anxiety was reduced in 92% of participants. Conclusion: VR proved to be non-inferior to conventional education. It helped to reduce anxiety and showed no adverse effects.",patient education; virtual reality; pacemaker implantation; medical technology in education; health outcomes; preoperative anxiety,MDPI,BASEL,2024,J,English,http://dx.doi.org/10.3390/healthcare12100976,26,3,4,4,16,Health Care Sciences & Services; Health Policy & Services,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Health Care Sciences & Services
Relaygan: Sequential Knowledge Propagation For Sustainable Multi-Generation,"Yoon, N; Kim, H","With the development of artificial intelligence technology, the need for a large amount of high-quality learning data is increasing to be used in various fields. This paper proposes RelayGAN, a new generative model that integrates knowledge inherent in multiple energy data based on the Generative Adversarial Network(GAN) sequentially, similar to relay running. To evaluate the effectiveness of RelayGAN, we conducted extensive experiments using quantitative methods. We employ three statistical metrics, including the Pearson correlation coefficient, the Mann-Whitney U test, and the Kolmogorov-Smirnov test, to validate the quality of the generated data. This shows that RelayGAN improves the performance of conventional multitasking learning-based GAN under the same conditions. Through this, we demonstrate that RelayGAN consistently outperforms state-of-the-art generative models in terms of data quality and pattern preservation. Furthermore, we verify that RelayGAN leverages sequential knowledge transfer to reduce redundant learning processes in accordance with the principles of sustainable AI development, increasing computational efficiency and contributing to eco-friendly AI. Beyond energy data, RelayGAN is a promising approach for multi-source data generation in various edge intelligence applications, ultimately contributing to data-driven innovation.",GAN; Data generation; Multi-task learning,ELSEVIER,AMSTERDAM,2025,J,English,http://dx.doi.org/10.1016/j.array.2025.100444,53,1,1,0,0,"Computer Science, Theory & Methods",Emerging Sources Citation Index (ESCI),Computer Science
Cultural Identity And Millennials' Housing Transition In Indonesia,"Asmal, I","This study investigates the generational shift among millennials from traditional architecture toward modern, globalized designs that often lack cultural identity. It examines both internal factors-such as regional natural resources, geographical context, and intangible cultural values-and external influences including technological advancements and proximity to urban centers, which collectively shape millennials' housing preferences. The research was conducted in Bajeng Village, Gowa District, with a total of 650 respondents. A mixed-methods approach was adopted, employing a sequential design that began with qualitative data collection through interviews, followed by quantitative data gathering via structured surveys. Findings reveal that millennial residents tend to favor contemporary and durable housing that emphasizes practicality and adaptability over cultural continuity. This preference illustrates a declining appreciation for traditional architectural values, highlighting the need to raise awareness of their cultural significance in fostering a sense of belonging and identity. The study advocates for intergenerational knowledge transfer as a strategy to help younger generations appreciate and integrate cultural heritage into modern housing choices. Its main contribution lies in offering both a practical and theoretical framework for understanding how social, cultural, and functional factors converge to influence architectural trends in transitional societies.",Cultural identity; Social change; Architecture change; Traditional house; Modern house; Millennial,SPRINGER,DORDRECHT,2025,J,English,http://dx.doi.org/10.1007/s10901-025-10245-7,88,0,0,2,2,Environmental Studies; Regional & Urban Planning; Urban Studies,Social Science Citation Index (SSCI),Environmental Sciences & Ecology; Public Administration; Urban Studies
It'S Not By Accident! It'S By Design. Design Methods To Reach (Inter)Generational Perspective,"de Sousa, AP; Castro, TS","This paper emphasizes the significance of employing methodological approaches rooted in participatory design to facilitate intergenerational collaboration in an age range less studied (generations X to Y) in developing a web-based newsroom for young people. The research stems from the YouNDigital project, funded by the Portuguese Foundation for Science and Technology, which seeks to explore young people's interaction with news in a digitized society. A key output of the project is the development of the YouNDigital Newsroom, aweb-based platform enabling youth from diverse backgrounds to share their views of the world on issues that matter to them. Drawing upon intergenerational collaboration and knowledge transfer, this paper explores the challenges and strategies in creating a platform that reflects researchers' and users' diverse perspectives and needs. Through co-design sessions, iterative prototyping, and usability testing, the task navigated complexities within a limited timeframe and resources to foster user engagement and ownership. The main objective was to engage users with a web-based Newsroom to generate meaningful content that reflects their perspectives on matters of interest. The design thinking sessions and continuous collaborative work were instrumental in defining potential user profiles (personas) and delineating usage contexts for each persona. The findings underscore the importance of integrating diverse perspectives and collaborative design methodologies in addressing multifaceted challenges and creating inclusive solutions across generations. Leveraging design methodologies facilitated collaboration between researchers and users in developing the YouNDigital newsroom. By incorporating user perspectives from the outset, the project aimed to create a platform that resonates with young people and researchers from different generations' interests and fosters meaningful engagement with news content in a digital era.",Participatory Design Methods; Intergenerational Collaboration; Knowledge Transfer,SPRINGER INTERNATIONAL PUBLISHING AG,CHAM,2024,C,English,http://dx.doi.org/10.1007/978-3-031-61543-6_6,15,1,1,0,1,"Computer Science, Interdisciplinary Applications; Ergonomics",Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science & Humanities (CPCI-SSH),Computer Science; Engineering
A Novel Methodology For Neural Compact Modeling Based On Knowledge Transfer,"Cha, YS; Park, J; Park, C; Chong, S; Kim, CH; Lee, CS; Jeong, I; Cho, HB","This work presents a novel approach of using knowledge transfer to increase the accuracy of artificial neural network (ANN)-based device compact models, or neural compact models. This is useful when the amount of data available for training an ANN is limited. By utilizing relatively abundant data of a previous technology node, physical phenomena that are not evident in the limited data of the target technology node (e.g. gate -induced drain leakage) are accurately predicted. When meta learning algorithms are used, the accuracy of the model significantly increases, with relative linear error 10 times lower compared to the case when prior knowledge is not incorporated. The proposed methodology can be used to model future generation devices with limited data, utilizing data from well-characterized past technology node devices.",Artificial neural network; Compact modeling; Deep learning; Knowledge transfer; Meta learning; MOSFET; Statistical modeling; Transfer learning,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,2022,J,English,http://dx.doi.org/10.1016/j.sse.2022.108450,8,14,14,0,5,"Engineering, Electrical & Electronic; Physics, Applied; Physics, Condensed Matter",Science Citation Index Expanded (SCI-EXPANDED),Engineering; Physics
Proof-Of-Work Explained In Vr: A Case Study,"Keller, T; Gämperli, M; Brucker-Kley, E","This paper addresses the underutilization of Virtual Reality (VR) in education, focusing on its application in explaining complex blockchain concepts, specifically the Proof-of-Work (PoW) algorithm. The study presents aVRlearning module designed to elucidate the PoW algorithm using the Bitcoin blockchain as a case study. The research adopts a Design Science Research (DSR) approach, emphasizing the development of artifacts like software for educational purposes. The VR learning unit comprises distinct phases, including VR control system introduction, transaction generation, immersion in the blockchain world, PoW algorithm simulation, and transaction verification. Results from a field experiment with 18 business informatics students show positive correlations between user experience, immersion, and learning effectiveness. The findings contribute valuable insights for future research and the development of VR-based educational tools, emphasizing the potential of immersive technologies in enhancing knowledge transfer.",Virtual Reality; Proof-of-Work; Change of Perspective,SPRINGER INTERNATIONAL PUBLISHING AG,CHAM,2024,C,English,http://dx.doi.org/10.1007/978-3-031-71707-9_7,36,0,0,0,0,"Computer Science, Cybernetics; Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods",Conference Proceedings Citation Index - Science (CPCI-S),Computer Science
Those Who Retired And Found A Position In Higher Education,"Özben, M; Kanbir, F","The definition of retirement, which marks the end of working life, has changed over time. In fact, retirement today does not mean the end of working life in a single sense. In both Western countries and in T & uuml;rkiye, it is observed that working life continues even after retirement for reasons such as increasing life expectancy and retiring at a young age. In this respect, bridge employment, which refers to continuing to work after retirement and which has recently been introduced in Western countries, is an issue that can also be examined in T & uuml;rkiye. This study seeks to understand what motivates people who continue to work in academia after retiring from state universities along with different sectors. In this context, the study was conducted with 17 participants (7 female and 10 male) through semi-structured interviews, one of the qualitative research techniques. The findings from the study show that most of the participants joined bridging employment primarily for economic reasons. Moreover, the participants engaged in bridge employment in academia for reasons such as still being at a younger age, gaining professional satisfaction, getting out of the house, getting involved in social life, feeling useful, having dependents, and flexible working conditions. Participants stated that working was good for their physical and mental health; although they had problems adapting to technology, they received support from young academics in this regard. At the same time, the participants think that they may benefit students and young academics in terms of experience and knowledge transfer. In this respect, it can be predicted that bridge employment can eliminate the problem of the shortage of qualified staff in foundation universities and relatively newly established state universities and increase intergenerational contact.",Retirement; bridge employment; academia; universities; working life,"ISTANBUL UNIV, METHODOLOGY & SOCIOLOGY RESEARCH CENTER",ISTANBUL,2025,J,English,http://dx.doi.org/10.26650/JECS2024-1584427,50,0,0,6,10,Sociology,Emerging Sources Citation Index (ESCI),Sociology
Intelligent Generation Of Construction Technology Disclosure Plans For Deep Foundation Pit Engineering Based On Multimodal Knowledge Graphs,"Yang, NH; Xu, N; Zhong, DQ; Guo, J","To address the challenges in multimodal information integration and the inefficiency of knowledge transfer in the construction technology disclosure of deep foundation pit projects, an intelligent generation method based on graph rule reasoning and template mapping was proposed. First, a multi-level domain knowledge structure model was constructed by designing domain concepts and relationship types using the Work Breakdown Structure (WBS). Second, entity and attribute extraction was performed using regular expressions and the BERT-BiLSTM-CRF model, while relationship extraction was conducted based on text structure combined with the BERT-CNN model. For image and video data, cross-modal data chains were built by adding keyword tags and generating URLs, utilizing semantic association rules to form a multimodal knowledge graph of the domain. Finally, based on graph reasoning and template mapping technology, the intelligent generation of construction disclosure schemes was realized. The case verification results showed that the proposed method significantly improved the structural integrity, procedural logical consistency, parameter traceability, knowledge reuse rate, environmental compliance, and parameter compliance of the schemes. This method not only promoted the standardization and efficiency of construction technology disclosure activities for deep foundation pit projects but also enhanced the visualization and intelligence level of the schemes.",deep foundation pit engineering; construction technology disclosure; multimodal knowledge graph; intelligent scheme generation,MDPI,BASEL,2025,J,English,http://dx.doi.org/10.3390/buildings15183264,36,0,0,13,13,"Construction & Building Technology; Engineering, Civil",Science Citation Index Expanded (SCI-EXPANDED),Construction & Building Technology; Engineering
Virtual Museum Experience Design And User Behavior Analysis,"Chen, W; Chen, YJ","In the evolving landscape of digital cultural heritage, the integration of advanced computational models into immersive virtual environments has become essential for enriching user engagement and fostering more meaningful interpretative experiences. As digital heritage platforms increasingly adopt interactive technologies, there is a growing need to move beyond static presentations and introduce intelligent, responsive systems that adapt to individual users' interests and behaviors. Traditional virtual museum systems often suffer from rigid content structures, limited adaptability, and a lack of personalized storytelling, all of which constrain user immersion and diminish the potential for impactful learning experiences. To overcome these challenges, our approach integrates semantic-topological modeling with adaptive interaction mechanisms, forming a dynamic and personalized digital museum experience. The proposed framework features a hybrid computational architecture that unites symbolic knowledge representations with algorithmic spatial layout generation. This integration enables the creation of flexible narrative trajectories that are contextually relevant and customized according to each user's cognitive and behavioral profile. Furthermore, the system incorporates reinforcement-driven semantic planning to interpret and respond to user interactions in real time, ensuring a continuously evolving and coherent interpretative journey. Experimental results reveal substantial improvements in user satisfaction, engagement levels, and knowledge retention when compared to traditional virtual museum platforms. These outcomes highlight the scalability and transformative potential of the model, reinforcing its capacity to enhance accessibility, personalization, and educational value across diverse digital heritage applications.",Virtual museums; Cultural differences; Adaptation models; Real-time systems; Computational modeling; Navigation; Adaptive systems; Virtual environments; User experience; Solid modeling; Semantic modeling; user interaction; adaptive systems; digital heritage; computational frameworks,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,PISCATAWAY,2025,J,English,http://dx.doi.org/10.1109/ACCESS.2025.3600420,37,0,0,34,34,"Computer Science, Information Systems; Engineering, Electrical & Electronic; Telecommunications",Science Citation Index Expanded (SCI-EXPANDED),Computer Science; Engineering; Telecommunications
